HGNC symbol,logFC,AveExpr,P.Value,adj.P.Val
NRDE2,0.03692972668569894,4.511760787897492,0.5652671396387828,0.6556908842715975
RARRES2,-0.10178975869996698,6.976644707014299,0.4711676531346626,0.5680259257047277
DHRS1,0.041482081006043,4.392419384722522,0.5882792878660865,0.676376522407317
CHMP3,-0.04551498809322663,6.660886627770418,0.45550393201923034,0.5527360067057301
EEF1D,-0.04393703723093267,8.122123607546989,0.5481182402502873,0.6402385946740602
MTOR,0.03845408124703642,6.177106227507052,0.4401520521256243,0.5387647653524655
LIPA,0.09888775494838065,7.566662179698029,0.5019459607123665,0.5976001889765384
GAPVD1,-0.03801925469952216,6.065286670566757,0.44024246200445016,0.538831516326692
SPRYD4,-0.02019020515603165,3.864836605516015,0.7820707471178505,0.8368424444972213
TCEAL3,0.056495148201261,4.934503983226898,0.4970846107312666,0.5929875908318422
JAM2,0.11299476625616744,5.946404723708216,0.4415720979553279,0.5401067952757611
DDX41,-0.04463772253949028,5.631160932730434,0.44730147534036824,0.5454485308818796
ZHX1,0.06025507262147656,5.679356097995114,0.4473097364179818,0.5454485308818796
DPY30,0.04361533642907211,4.40909368339485,0.5910314520666891,0.6785431416136373
GGNBP2,-0.03289492484439638,6.349045653574052,0.4458604548603493,0.5441555478260675
SNRNP48,0.02728774086799035,4.080498548723892,0.6933567302221739,0.7657566535191433
AKT3,0.08712095882703963,6.45404658692828,0.4482884200855427,0.546142422231081
ELMOD3,0.04335276003359123,4.630251374246946,0.5454174730246172,0.6375618523777681
CNR1,-0.05107023166132318,3.825662335906456,0.8079332695890364,0.8566431186698016
AHSA1,0.06748360735847836,6.195485485152347,0.44302278149582086,0.5416165368567956
TP53BP2,-0.08280326818372696,5.96937119595075,0.4423397673233904,0.5408695730220631
TRIM11,-0.03290061684267709,4.462042796171802,0.5768019408209208,0.6660762993379525
PRR3,-0.0043361268875101704,3.7231050963146535,0.9560737516387504,0.9687809793457288
ZNF236,-0.02533531905969699,4.0412368798140115,0.7094039046284033,0.7789543239957588
EPB41L2,0.07135595612777301,7.606218000115497,0.5097829596530945,0.6043436949269734
CRTC2,-0.04665999515477548,5.827872240957777,0.44405659450570767,0.5424501714023233
VAV3,0.0577648424073196,4.4439910950988795,0.5945233717480626,0.6816142381896299
IQGAP1,0.03178924348297762,8.719611348752869,0.6080911956302988,0.6931482746790724
RRN3,0.04435584199924758,5.201364999001791,0.4776444741909073,0.5739467011225717
ABCB10,0.04394518956538285,4.619276497293855,0.5539042525545381,0.6455040920289294
ZNF91,0.04372863884082623,4.435130870226488,0.588600732460796,0.6766317949352235
HDHD3,-0.02102201661851932,3.783874139210483,0.8542249071675027,0.8928657035786663
ARL4D,-0.00448590288318584,3.7425146063560337,0.977867746775682,0.98409244765639
DDX52,-0.03055363852674464,4.771289340158281,0.5244571013411251,0.6180322640284315
UPF3B,0.01805216273378285,3.920615547177455,0.7735151756661158,0.8304091796518509
DOK6,-0.00116203879856158,3.7548639488472806,0.9954442143006634,0.9971704565184863
KIN,0.00483179452910409,3.77557556386233,0.9222304736108,0.94352721274936
TAF11,-0.03823698377429174,5.047218836640307,0.48961853883055617,0.5857560008520092
BRD8,-0.05120667263334599,5.830978924314417,0.4462031940266225,0.5444722583670825
CCT5,-0.05235955891315136,7.000002396647078,0.4776927196526478,0.5739573565170494
ANKRD50,-0.09010128717589616,5.6852170869229335,0.4501004964339159,0.547720489492185
MRPL33,-0.04373528815758831,5.3012462256722985,0.468594368726024,0.5656046631757738
ELL,0.0653079653973041,4.694919499303649,0.5435925013461975,0.635971357429776
YIPF5,0.05278424258526737,5.465590693149363,0.46310259662705255,0.5600588662606378
HLA-DQB2,-0.1659134374500706,4.62669643156039,0.5433575269733849,0.6357655576202297
ATP1B3,0.1056378047547808,7.150073225921041,0.4838892143314501,0.5798717074957351
PIK3CG,-0.05676040211337963,4.1002233920677895,0.6982002420666388,0.7697474444394662
LEPROTL1,-0.06566358057033295,5.776740114170844,0.44888677676468225,0.546754182747859
LBR,-0.06823450610427617,5.848064065263895,0.4477972533911687,0.545734721775824
ANGEL2,-0.03909194237337132,4.927566568373465,0.5044543598451414,0.5998258277661451
GMPR2,-0.04679335609019297,5.86201954278065,0.4478084234080335,0.545734721775824
STON2,-0.01844081186637547,3.819407815567156,0.863928464393647,0.9011905547109448
CD44,-0.04940306370049363,8.766782775625185,0.6249569567110231,0.7080739689833174
LEPR,0.13962148535117613,6.244029515051546,0.4490306020160062,0.546754182747859
